Car_Name,Year,Present_Price,Driven_kms,Fuel_Type,Selling_type,Transmission,Owner,Selling_Price
ritz,2014,5.59,27000,Petrol,Dealer,Manual,0,3.35
sx4,2013,9.54,43000,Diesel,Dealer,Manual,0,4.75
ciaz,2017,9.85,6900,Petrol,Dealer,Manual,0,7.25
wagon r,2011,4.15,5200,Petrol,Dealer,Manual,0,2.85
swift,2014,6.87,42450,Diesel,Dealer,Manual,0,4.6
vitara brez,2018,9.83,2071,Diesel,Dealer,Manual,0,9.25
ciaz,2015,8.12,18796,Petrol,Dealer,Manual,0,6.75
s cross,2015,8.61,33429,Diesel,Dealer,Manual,0,6.5
ciaz,2015,8.89,20273,Diesel,Dealer,Manual,0,8.35
ciaz,2015,8.92,42367,Diesel,Dealer,Manual,0,7.45
alto 800,2017,3.6,2135,Petrol,Dealer,Manual,0,2.85
ciaz,2015,10.38,51000,Diesel,Dealer,Manual,0,6.85
ciaz,2015,9.94,19500,Petrol,Dealer,Automatic,0,7.5
ertiga,2015,7.71,26000,Petrol,Dealer,Manual,0,6.1
dzire,2009,7.21,77427,Petrol,Dealer,Manual,0,2.25
ertiga,2016,10.79,43000,Diesel,Dealer,Manual,0,7.75
ertiga,2015,10.79,41678,Diesel,Dealer,Manual,0,7.25
alto 800,2012,3.0,40000,Petrol,Individual,Manual,1,1.98
wagon r,2014,4.5,35000,CNG,Dealer,Manual,0,3.10
swift,2013,6.0,45000,Petrol,Individual,Automatic,1,3.85
ritz,2016,5.9,22000,Diesel,Dealer,Manual,0,4.5
s cross,2017,9.5,15000,Diesel,Dealer,Manual,0,8.1
ciaz,2018,10.0,12000,Petrol,Dealer,Automatic,0,8.9
dzire,2014,7.0,32000,Petrol,Individual,Manual,1,4.4
vitara brez,2015,9.0,27000,Diesel,Dealer,Manual,0,7.5
ertiga,2013,8.5,50000,Diesel,Dealer,Manual,1,5.0
wagon r,2015,4.2,18000,CNG,Individual,Manual,0,2.65
alto 800,2016,3.4,15000,Petrol,Dealer,Manual,0,3.0
swift,2012,6.2,65000,Diesel,Dealer,Manual,1,3.0
ritz,2011,4.8,80000,Petrol,Dealer,Manual,2,1.5
ciaz,2019,10.5,10000,Diesel,Dealer,Automatic,0,9.0
ertiga,2017,11.0,28000,Diesel,Dealer,Manual,0,9.3
s cross,2016,9.2,27000,Diesel,Individual,Automatic,0,7.7
wagon r,2018,4.8,16000,Petrol,Dealer,Manual,0,4.3
alto 800,2015,3.2,35000,Petrol,Dealer,Manual,0,2.75
dzire,2013,7.3,37000,Diesel,Individual,Manual,1,4.1
vitara brez,2017,9.4,23000,Diesel,Dealer,Manual,0,8.0
ciaz,2014,8.55,40000,Petrol,Dealer,Manual,0,6.4
sx4,2016,10.25,35000,Diesel,Dealer,Manual,0,8.8
ertiga,2012,8.0,58000,Diesel,Dealer,Manual,1,5.5
swift,2017,7.1,21000,Petrol,Dealer,Manual,0,6.5
wagon r,2010,3.9,75000,CNG,Dealer,Manual,2,1.7
alto 800,2018,3.5,13000,Petrol,Dealer,Manual,0,3.2
ritz,2013,5.75,30000,Petrol,Dealer,Manual,0,3.5
ciaz,2016,9.2,25000,Diesel,Dealer,Manual,0,7.15
s cross,2014,8.35,37000,Diesel,Dealer,Manual,1,6.0
ertiga,2018,10.7,20000,Diesel,Dealer,Automatic,0,9.0
dzire,2011,6.8,62000,Petrol,Dealer,Manual,1,3.5
wagon r,2013,4.4,46000,CNG,Dealer,Manual,0,3.0
alto 800,2014,3.2,33000,Petrol,Dealer,Manual,0,2.7
ritz,2015,5.9,15000,Petrol,Individual,Manual,0,4.7
ciaz,2012,8.0,48000,Diesel,Dealer,Manual,1,5.2
swift,2011,6.5,53000,Diesel,Dealer,Manual,2,3.2
ertiga,2014,7.5,43000,Diesel,Individual,Manual,1,5.0
sx4,2015,9.85,37000,Diesel,Dealer,Manual,0,7.4
wagon r,2016,4.6,12000,CNG,Dealer,Manual,0,4.2
alto 800,2017,3.6,11000,Petrol,Dealer,Manual,0,3.3
dzire,2008,6.4,85000,Petrol,Dealer,Manual,2,2.1
ritz,2014,5.8,26000,Petrol,Dealer,Manual,0,3.6
ciaz,2016,9.3,22000,Petrol,Dealer,Automatic,0,6.8
swift,2013,6.7,40000,Diesel,Dealer,Manual,0,4.4
ertiga,2015,7.9,30000,Diesel,Dealer,Manual,0,6.2
s cross,2017,9.0,19000,Diesel,Dealer,Manual,0,7.8
wagon r,2012,4.3,41000,CNG,Dealer,Manual,1,3.1
alto 800,2010,3.1,60000,Petrol,Dealer,Manual,2,2.0
sx4,2015,10.1,20000,Diesel,Dealer,Manual,0,8.2
ciaz,2014,8.4,35000,Petrol,Dealer,Manual,0,6.3
ritz,2013,5.6,42000,Petrol,Dealer,Manual,0,3.4
ertiga,2017,10.4,21000,Diesel,Dealer,Automatic,0,8.9
swift,2016,7.3,27000,Diesel,Individual,Manual,0,5.8
dzire,2009,6.8,78000,Petrol,Dealer,Manual,1,2.7
wagon r,2011,4.0,55000,CNG,Dealer,Manual,2,2.8
alto 800,2015,3.7,29000,Petrol,Dealer,Manual,0,3.0
sx4,2014,9.6,39000,Diesel,Dealer,Manual,0,7.6
ciaz,2013,8.15,46000,Petrol,Dealer,Manual,1,5.3
ertiga,2018,11.2,15000,Diesel,Dealer,Manual,0,9.5
swift,2012,6.0,50000,Diesel,Dealer,Manual,1,3.9
ritz,2015,5.9,21000,Petrol,Dealer,Manual,0,4.8
wagon r,2017,4.7,14000,CNG,Dealer,Manual,0,4.05
alto 800,2016,3.5,18000,Petrol,Dealer,Manual,0,3.4
ciaz,2014,8.5,38000,Diesel,Dealer,Manual,0,6.7
sx4,2017,10.3,17000,Diesel,Dealer,Manual,0,8.4
ertiga,2013,8.4,46000,Diesel,Individual,Manual,1,5.4
swift,2013,6.5,44000,Petrol,Dealer,Manual,0,4.2
dzire,2010,6.9,75000,Petrol,Dealer,Manual,1,3.0
wagon r,2014,4.5,34000,CNG,Dealer,Manual,0,3.2
alto 800,2012,3.3,29000,Petrol,Dealer,Manual,1,2.6
ritz,2016,6.2,19000,Petrol,Dealer,Manual,0,5.1
ciaz,2017,9.8,13000,Diesel,Dealer,Automatic,0,8.1
sx4,2015,9.2,34000,Diesel,Dealer,Manual,0,7.1
ertiga,2016,10.5,22000,Diesel,Dealer,Automatic,0,8.2
swift,2011,6.1,52000,Petrol,Dealer,Manual,1,3.3
dzire,2013,7.4,35000,Petrol,Dealer,Manual,0,4.8
wagon r,2015,4.8,25000,CNG,Dealer,Manual,0,4.1
alto 800,2017,3.5,15500,Petrol,Dealer,Manual,0,3.3
ciaz,2014,8.1,42000,Diesel,Dealer,Manual,1,6.1
sx4,2012,9.0,45000,Diesel,Dealer,Manual,0,6.2
ertiga,2013,8.8,49000,Diesel,Dealer,Manual,1,5.3
swift,2016,7.5,24000,Petrol,Dealer,Manual,0,6.0
wagon r,2010,4.1,58000,CNG,Dealer,Manual,2,1.9
alto 800,2018,3.6,12000,Petrol,Dealer,Manual,0,3.2
ritz,2013,5.7,28000,Petrol,Dealer,Manual,0,3.3
ciaz,2016,9.0,23000,Diesel,Dealer,Manual,0,7.0
s cross,2014,8.6,31000,Diesel,Dealer,Manual,0,6.3
ertiga,2017,10.8,19000,Diesel,Dealer,Automatic,0,9.0
dzire,2011,7.0,60000,Petrol,Dealer,Manual,1,3.3
wagon r,2013,4.3,47000,CNG,Dealer,Manual,0,3.0
