CreditScore,Age,Tenure,Balance,NumOfPro,HasCrCard,IsActiveMe,Estimated,Exited
619,42,2,83807.90,0,1,1,101348.88,1
608,41,2,83807.90,1,1,1,112542.58,0
502,42,8,159661.00,1,1,0,113931.57,0
699,39,2,125511.00,2,0,0,93826.63,1
850,43,2,113756.00,2,1,1,79084.10,1
822,50,7,0.00,0,1,1,149756.71,1
376,29,4,115047.00,2,0,1,10062.80,0
376,29,4,142051.00,2,0,1,119346.88,1
684,27,2,134604.00,1,1,0,74940.00,0
528,31,6,102017.00,0,0,1,71725.73,1
497,24,4,0.00,1,1,0,80181.12,1
476,34,10,76390.00,0,0,1,26260.98,0
549,25,3,0.00,0,1,1,190857.79,0
635,35,7,0.00,1,0,1,69551.65,0
616,45,3,64327.26,0,1,1,5097.67,0
720,38,5,150000.00,2,1,1,120000.00,1
580,30,1,50000.00,1,1,0,60000.00,0
450,27,3,30000.00,0,0,1,40000.00,1
700,55,6,200000.00,3,1,1,180000.00,1
800,48,4,120000.00,2,1,1,150000.00,0
637,35,9,52679.00,1,1,0,70000.00,1
410,23,1,0.00,0,0,1,55000.00,0
720,41,6,100100.00,3,1,1,120000.00,1
559,39,3,40000.00,0,1,0,47000.00,0
604,44,8,123459.00,1,0,1,110200.00,1
415,29,0,34000.00,0,0,0,36000.00,0
695,50,5,76000.00,2,1,1,75000.00,1
710,36,4,130000.00,2,1,1,125000.00,0
523,31,2,0.00,1,0,0,45000.00,0
402,26,3,21000.00,0,1,1,32000.00,1
792,47,7,160000.00,2,1,1,170000.00,0
630,29,5,40000.00,1,0,1,42000.00,0
521,33,3,12345.00,0,1,0,15000.00,1
499,28,4,0.00,0,0,1,37000.00,0
752,46,9,175000.00,3,1,1,160000.00,1
540,37,1,33000.00,2,1,0,40000.00,0
675,48,6,0.00,1,1,1,90000.00,1
465,25,2,10000.00,0,0,0,15000.00,0
690,40,7,115000.00,3,1,1,110000.00,1
701,43,8,0.00,2,1,1,130000.00,0
482,22,4,18900.00,1,0,0,21000.00,1
712,37,6,140000.00,2,1,1,135000.00,0
560,31,3,23050.00,1,0,1,30000.00,0
491,29,1,0.00,0,1,0,25000.00,0
601,41,5,94000.00,2,1,1,85000.00,1
450,24,0,0.00,0,0,0,10000.00,0
710,50,8,160000.00,3,1,1,150000.00,1
595,36,2,60000.00,0,1,0,70000.00,0
635,34,3,0.00,1,0,1,55000.00,1
473,26,4,21000.00,0,0,0,18000.00,0
799,45,7,180000.00,3,1,1,175000.00,1
620,38,1,45000.00,1,1,0,46000.00,0
490,22,2,12000.00,0,0,0,13000.00,1
705,41,6,115000.00,2,1,1,110000.00,0
542,35,4,30000.00,1,0,1,29000.00,0
495,28,3,0.00,0,1,0,25000.00,1
680,48,7,140000.00,2,1,1,145000.00,0
530,31,2,21000.00,0,1,0,23000.00,0
470,23,5,15000.00,1,0,1,16000.00,1
770,49,8,175000.00,3,1,1,165000.00,0
615,37,6,69000.00,2,1,1,72000.00,1
535,30,1,0.00,0,0,0,20000.00,0
600,33,4,42000.00,1,1,1,47000.00,1
480,21,0,0.00,0,0,0,10000.00,0
730,46,7,130000.00,3,1,1,135000.00,0
590,34,2,49000.00,0,1,1,53000.00,0
610,28,5,0.00,1,1,0,60000.00,1
500,25,3,12000.00,0,0,0,15000.00,0
750,44,9,180000.00,3,1,1,185000.00,1
625,39,1,49000.00,1,1,1,52000.00,0
445,22,0,3500.00,0,0,0,10000.00,0
700,40,8,160000.00,2,1,1,155000.00,1
580,36,3,37000.00,1,0,0,38000.00,0
640,32,6,95000.00,2,1,1,91000.00,1
470,24,2,0.00,0,0,0,11000.00,0
730,41,7,150000.00,3,1,1,140000.00,0
610,29,1,20000.00,0,1,0,25000.00,1
530,27,3,35000.00,1,0,1,38000.00,0
500,26,4,0.00,0,0,0,30000.00,0
770,44,8,175000.00,3,1,1,168000.00,1
600,35,1,46000.00,1,1,1,48000.00,0
485,23,0,0.00,0,0,0,9500.00,0
685,38,6,120000.00,2,1,1,110000.00,1
595,31,2,30000.00,1,0,1,31000.00,0
540,29,3,0.00,0,1,0,28000.00,0
455,21,1,5000.00,0,0,0,8000.00,0
730,42,7,140000.00,3,1,1,145000.00,1
620,33,5,67000.00,2,1,0,70000.00,0
498,24,2,0.00,0,0,1,14000.00,1
710,39,8,160000.00,3,1,1,150000.00,1
560,28,3,29000.00,1,0,0,32000.00,0
640,34,6,98000.00,2,1,1,97000.00,0
470,22,1,0.00,0,0,0,11000.00,1
740,45,7,175000.00,3,1,1,165000.00,0
605,30,4,50000.00,1,0,1,48000.00,0
625,32,2,0.00,0,1,1,56000.00,1
485,23,3,12000.00,0,0,0,13000.00,0
780,48,9,190000.00,4,1,1,185000.00,1
625,36,1,47000.00,1,1,0,55000.00,0
462,25,0,0.00,0,0,0,7000.00,0
705,41,5,140000.00,3,1,1,135000.00,1
590,29,3,32000.00,1,0,0,34000.00,0

