Level,Salary
1,1764
2,4214
3,7733
4,12285
5,17840
6,24375
7,31875
8,40330
9,49739
10,60106
11,71443
12,83768
13,97107
14,111491
15,126960
16,143560
17,161344
18,180370
19,200706
20,222425
21,245608
22,270340
23,296716
24,324838
25,354812
26,386753
27,420783
28,457029
29,495627
30,536719
31,580454
32,626987
33,676480
34,729104
35,785034
36,844454
37,907554
38,974530
39,1045586
40,1120933
41,1200788
42,1285375
43,1374926
44,1469679
45,1569878
46,1675775
47,1787629
48,1905706
49,2030277
50,2161621
51,2300026
52,2445783
53,2599193
54,2760561
55,2930203
56,3108437
57,3295591
58,3492000
59,3698003
60,3913950
61,4140194
62,4377097
63,4625028
64,4884361
65,5155479
66,5438770
67,5734632
68,6043465
69,6365680
70,6701694
71,7051928
72,7416815
73,7796790
74,8192297
75,8603787
76,9031718
77,9476554
78,9938766
79,10418832
80,10917239
81,11434476
82,11971044
83,12527447
84,13104198
85,13701817
86,14320830
87,14961769
88,15625175
89,16311594
90,17021580
91,17755693
92,18514501
93,19298578
94,20108506
95,20944871
96,21808269
97,22699301
98,23618576
99,24566709
100,25544323
