bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,price
3,1.5,1340,7912,1.5,0,0,3,1340,0,1955,2005,313000
5,2.5,3650,9050,2,0,0,5,3370,280,1921,2000,238400
2,1,1930,11947,1,0,0,4,1930,0,1963,0,342000
5,2.25,2000,8030,1,1,0,4,1000,1000,1963,0,420000
4,2.5,1940,10500,1,0,0,4,1140,800,1976,1992,550000
2,1,880,6380,1,0,0,3,880,0,1994,0,490000
2,1,1350,2560,1,0,0,4,1350,0,1976,0,420000
2,5,2710,35868,1,1,0,3,2710,0,1989,0,482000
5,2.5,2430,88426,1,0,0,4,1570,860,1985,0,560000
4,2,1520,6200,1.5,0,0,4,1520,0,2010,2010,420000
3,1.75,1710,7320,2,0,1,3,1710,0,1948,1994,299000
2,5,2920,4000,1.5,0,0,1,1010,1000,1983,0,250000
3,1.75,2330,14892,1,0,0,3,1970,360,1980,0,315000
1,1,1090,6435,1,0,0,4,1090,0,2009,0,200000
3,2.75,2910,9480,1.5,0,0,4,2910,0,1939,1969,242500
1,1.5,1200,9720,1,0,0,1,1200,0,1965,0,325000
4,2.0,1600,7500,1,0,0,4,1400,200,1980,1990,350000
3,2.0,1800,8200,1,0,0,3,1600,200,1975,0,330000
5,3.0,2800,9000,2,1,1,5,2800,0,1995,2005,580000
2,1.0,900,6500,1,0,0,3,900,0,1989,0,275000
4,2.5,2200,12000,2,0,0,4,2200,0,2000,2018,450000
3,1.0,1500,7000,1,0,0,3,1500,0,1970,0,320000
5,3.5,3500,15000,2,1,1,5,3500,0,2003,0,600000
2,1.0,1100,6000,1,0,0,2,1100,0,1960,1985,280000
3,2.0,1900,8500,1,0,0,3,1900,0,1990,0,340000
1,1.0,950,5000,1,0,0,1,950,0,1950,0,210000
4,2.5,2500,10000,1.5,0,0,4,2300,200,1985,1995,470000
3,1.5,1700,7200,1,0,0,3,1700,0,1978,0,315000
2,1.0,1300,6800,1,0,0,3,1300,0,2005,0,330000
5,2.0,3000,16000,2,1,0,5,3000,0,1999,2010,590000
2,1.5,1000,6000,1,0,0,2,1000,0,1986,0,260000
4,3.0,2600,11000,2,0,0,4,2400,200,1992,0,480000
3,2.0,1800,8250,1,0,0,3,1800,0,1973,0,335000
1,1.0,800,5500,1,0,0,1,800,0,1955,0,200000
4,2.5,2400,10500,1,0,0,4,2200,200,1998,2005,460000
3,1.75,1750,7300,1,0,0,3,1750,0,1981,0,320000
2,1.25,1300,6700,1,0,0,3,1300,0,1967,0,300000
5,3.0,3200,12500,2,1,1,5,3200,0,2002,2010,610000
2,1.0,900,6100,1,0,0,2,900,0,1988,0,265000
4,2.0,2500,11500,1.5,0,0,4,2300,200,1995,2000,470000
3,1.5,1700,7500,1,0,0,3,1700,0,1976,1990,310000
1,1.0,850,5800,1,0,0,1,850,0,1960,0,210000
4,2.5,2300,10000,1,0,0,4,2100,200,1984,0,460000
3,2.0,1800,8000,1,0,0,3,1800,0,1991,0,335000
2,1.0,1250,6600,1,0,0,3,1250,0,1972,0,290000
5,3.5,3400,14000,2,1,0,5,3400,0,2000,2005,600000
2,1.0,950,6200,1,0,0,2,950,0,1984,0,270000
4,2.0,2600,11000,1.5,0,0,4,2400,200,1990,0,480000
3,1.5,1750,7200,1,0,0,3,1750,0,1978,0,320000
1,1.0,900,5400,1,0,0,1,900,0,1958,0,205000
4,2.5,2350,9800,1,0,0,4,2150,200,1982,0,450000
3,1.75,1850,7900,1,0,0,3,1850,0,1974,0,330000
2,1.0,1300,6700,1,0,0,3,1300,0,1986,0,300000
5,3.0,3100,13000,2,1,1,5,3100,0,1997,0,590000
2,1.0,900,6000,1,0,0,2,900,0,1982,0,260000
4,2.5,2400,10500,1.5,0,0,4,2200,200,1995,2007,470000
3,1.5,1700,7300,1,0,0,3,1700,0,1979,0,315000
1,1.0,850,5600,1,0,0,1,850,0,1965,0,210000
4,2.0,2300,9850,1,0,0,4,2100,200,1986,0,450000
3,2.0,1800,8000,1,0,0,3,1800,0,1985,0,340000
2,1.0,1250,6600,1,0,0,3,1250,0,1975,0,290000
5,3.5,3450,13500,2,1,0,5,3450,0,2001,2010,610000
2,1.0,950,6200,1,0,0,2,950,0,1983,0,275000
4,2.0,2550,10800,1.5,0,0,4,2350,200,1992,0,475000
3,1.5,1750,7300,1,0,0,3,1750,0,1977,0,320000
1,1.0,900,5400,1,0,0,1,900,0,1952,0,205000
4,2.5,2300,9800,1,0,0,4,2100,200,1980,0,455000
3,1.75,1800,7900,1,0,0,3,1800,0,1973,0,335000
2,1.0,1300,6700,1,0,0,3,1300,0,1986,0,295000
5,3.0,3200,12800,2,1,1,5,3200,0,1999,2010,600000
2,1.0,900,6000,1,0,0,2,900,0,1985,0,265000
4,2.0,2600,11000,1.5,0,0,4,2400,200,1991,0,475000
3,1.5,1750,7200,1,0,0,3,1750,0,1976,0,315000
1,1.0,850,5600,1,0,0,1,850,0,1961,0,210000
4,2.5,2350,9850,1,0,0,4,2150,200,1984,0,450000
3,2.0,1800,7900,1,0,0,3,1800,0,1975,0,335000
2,1.0,1300,6700,1,0,0,3,1300,0,1987,0,295000
5,3.0,3300,13000,2,1,0,5,3300,0,1998,2010,610000
2,1.0,900,6200,1,0,0,2,900,0,1984,0,265000
4,2.0,2550,10900,1.5,0,0,4,2350,200,1992,0,475000
3,1.5,1750,7250,1,0,0,3,1750,0,1979,0,315000
1,1.0,850,5600,1,0,0,1,850,0,1962,0,210000
4,2.5,2300,9800,1,0,0,4,2100,200,1983,0,455000
3,1.75,1850,7900,1,0,0,3,1850,0,1974,0,335000
2,1.0,1250,6700,1,0,0,3,1250,0,1988,0,295000
5,3.5,3400,14000,2,1,1,5,3400,0,2002,2010,620000
2,1.0,950,6200,1,0,0,2,950,0,1985,0,270000
4,2.0,2600,11000,1.5,0,0,4,2400,200,1993,0,480000
