Age,Estimated,Purchased
15,15000,0
16,18000,0
17,20000,0
18,22000,0
19,19000,0
20,25000,0
21,30000,0
22,35000,0
23,40000,0
24,45000,0
25,50000,0
26,43000,0
27,57000,0
28,60000,0
29,70000,0
30,65000,0
31,72000,0
32,62000,0
33,80000,0
34,90000,0
35,20000,0
36,26000,0
37,28000,0
38,30000,0
39,32000,0
40,35000,0
41,37000,0
42,22000,1
43,29000,1
44,41000,1
45,45000,1
46,28000,1
47,25000,1
48,32000,1
49,43000,1
50,50000,1
15,16000,0
16,19000,0
17,21000,0
18,23000,0
19,24000,0
20,26000,0
21,28000,0
22,30000,0
23,32000,0
24,34000,0
25,36000,0
26,38000,0
27,40000,0
28,42000,0
29,44000,0
30,46000,0
31,48000,0
32,50000,0
33,52000,0
34,54000,0
35,56000,0
36,58000,0
37,60000,0
38,62000,0
39,64000,0
40,66000,0
41,68000,0
42,70000,1
43,72000,1
44,74000,1
45,76000,1
46,78000,1
47,80000,1
48,82000,1
49,84000,1
50,86000,1
15,17000,0
16,20000,0
17,23000,0
18,25000,0
19,27000,0
20,29000,0
21,31000,0
22,33000,0
23,35000,0
24,37000,0
25,39000,0
26,41000,0
27,43000,0
28,45000,0
29,47000,0
30,49000,0
31,51000,0
32,53000,0
33,55000,0
34,57000,0
35,59000,0
36,61000,0
37,63000,0
38,65000,0
39,67000,0
40,69000,0
41,71000,1
42,73000,1
43,75000,1
44,77000,1
45,79000,1
46,81000,1
47,83000,1
48,85000,1
49,87000,1
50,89000,1
