Product Name,Product URL,Brand,Sale Price,Mrp,Discount Percent,Number Of Items,Number Of Reviews,Upc,Star Rating,Ram
"APPLE iPhone 8 Plus (Silver, 256 GB)",https://www.flipkart.com,Apple,84900,84900,0,3431,356,MOBEXRGVC,4.6,2 GB
"APPLE iPhone 8 Plus (Silver, 256 GB)",https://www.flipkart.com,Apple,84900,84900,0,3431,356,MOBEXRGVC,4.6,2 GB
"APPLE iPhone 8 Plus (Gold, 128 GB)",https://www.flipkart.com,Apple,78900,78900,0,4000,420,MOBEXRGLD,4.6,2 GB
"APPLE iPhone 8 Plus (Gold, 128 GB)",https://www.flipkart.com,Apple,78900,78900,0,4000,420,MOBEXRGLD,4.6,2 GB
"APPLE iPhone 8 (Gold, 128 GB)",https://www.flipkart.com,Apple,51900,51900,0,3142,315,MOBEXR128,4.5,2 GB
"APPLE iPhone 8 (Red, 64 GB)",https://www.flipkart.com,Apple,45900,45900,0,2210,289,MOBEXRRED,4.4,2 GB
"APPLE iPhone 8 (Space Grey, 128 GB)",https://www.flipkart.com,Apple,52900,52900,0,3321,300,MOBEXRSGY,4.6,2 GB
"APPLE iPhone 8 Plus (Gold, 64 GB)",https://www.flipkart.com,Apple,49900,49900,0,3431,356,MOBEXRGVZ,4.6,2 GB
"APPLE iPhone 8 Plus (Space Grey, 256 GB)",https://www.flipkart.com,Apple,84900,84900,0,3431,356,MOBEXRGVA,4.6,2 GB
"APPLE iPhone 8 Plus (Gold, 64 GB)",https://www.flipkart.com,Apple,49900,49900,0,3431,356,MOBEXRGVZ,4.6,2 GB
"APPLE iPhone 8 Plus (Gold, 128 GB)",https://www.flipkart.com,Apple,78900,78900,0,4000,420,MOBEXRGLD,4.6,2 GB
"APPLE iPhone 8 Plus (Silver, 256 GB)",https://www.flipkart.com,Apple,84900,84900,0,3431,356,MOBEXRGVC,4.6,2 GB
"APPLE iPhone 8 Plus (Silver, 256 GB)",https://www.flipkart.com,Apple,84900,84900,0,3431,356,MOBEXRGVC,4.6,2 GB
"APPLE iPhone 8 Plus (Space Grey, 256 GB)",https://www.flipkart.com,Apple,84900,84900,0,3431,356,MOBEXRGVA,4.6,2 GB
"APPLE iPhone 8 (Red, 256 GB)",https://www.flipkart.com,Apple,87900,87900,0,1800,200,MOBEXR256,4.5,2 GB
"APPLE iPhone 8 (Silver, 64 GB)",https://www.flipkart.com,Apple,44900,44900,0,2980,267,MOBEXRSLV,4.4,2 GB
"APPLE iPhone 8 (Red, 256 GB)",https://www.flipkart.com,Apple,87900,87900,0,1800,200,MOBEXR256,4.5,2 GB
"APPLE iPhone 8 Plus (Silver, 256 GB)",https://www.flipkart.com,Apple,84900,84900,0,3431,356,MOBEXRGVC,4.6,2 GB
"APPLE iPhone 8 Plus (Space Grey, 256 GB)",https://www.flipkart.com,Apple,84900,84900,0,3431,356,MOBEXRGVA,4.6,2 GB
"APPLE iPhone 8 Plus (Space Grey, 256 GB)",https://www.flipkart.com,Apple,84900,84900,0,3431,356,MOBEXRGVA,4.6,2 GB
"APPLE iPhone 8 (Silver, 64 GB)",https://www.flipkart.com,Apple,44900,44900,0,2980,267,MOBEXRSLV,4.4,2 GB
"APPLE iPhone 8 (Red, 64 GB)",https://www.flipkart.com,Apple,45900,45900,0,2210,289,MOBEXRRED,4.4,2 GB
"APPLE iPhone 8 (Gold, 128 GB)",https://www.flipkart.com,Apple,51900,51900,0,3142,315,MOBEXR128,4.5,2 GB
"APPLE iPhone 8 Plus (Space Grey, 256 GB)",https://www.flipkart.com,Apple,84900,84900,0,3431,356,MOBEXRGVA,4.6,2 GB
"APPLE iPhone 8 (Silver, 64 GB)",https://www.flipkart.com,Apple,44900,44900,0,2980,267,MOBEXRSLV,4.4,2 GB
"APPLE iPhone 8 Plus (Silver, 256 GB)",https://www.flipkart.com,Apple,84900,84900,0,3431,356,MOBEXRGVC,4.6,2 GB
"APPLE iPhone 8 (Gold, 128 GB)",https://www.flipkart.com,Apple,51900,51900,0,3142,315,MOBEXR128,4.5,2 GB
"APPLE iPhone 8 (Silver, 64 GB)",https://www.flipkart.com,Apple,44900,44900,0,2980,267,MOBEXRSLV,4.4,2 GB
"APPLE iPhone 8 Plus (Silver, 256 GB)",https://www.flipkart.com,Apple,84900,84900,0,3431,356,MOBEXRGVC,4.6,2 GB
"APPLE iPhone 8 (Red, 64 GB)",https://www.flipkart.com,Apple,45900,45900,0,2210,289,MOBEXRRED,4.4,2 GB
