Product Name,Product URL,Brand,Sale Price,Mrp,Discount Percent,Number Of Items,Number Of Reviews,Upc,Star Rating,Ram
"APPLE iPhone 8 Plus (Silver, 256 GB)",https://www.flipkart.com,Apple,84900.0,84900,0,3431,356.0,MOBEXRGVC,4.6,2 GB
"APPLE iPhone 8 Plus (Silver, 256 GB)",https://www.flipkart.com,Apple,84900.0,84900,0,3431,356.0,MOBEXRGVC,4.6,2 GB
"APPLE iPhone 8 Plus (Gold, 128 GB)",https://www.flipkart.com,Apple,78900.0,78900,0,4000,420.0,MOBEXRGLD,4.6,2 GB
"APPLE iPhone 8 Plus (Gold, 128 GB)",https://www.flipkart.com,Apple,78900.0,78900,0,4000,420.0,MOBEXRGLD,4.6,2 GB
"APPLE iPhone 8 (Gold, 128 GB)",https://www.flipkart.com,Apple,51900.0,51900,0,3142,315.0,MOBEXR128,4.5,2 GB
"APPLE iPhone 8 (Red, 64 GB)",https://www.flipkart.com,Apple,45900.0,45900,0,2210,289.0,MOBEXRRED,4.4,2 GB
"APPLE iPhone 8 (Space Grey, 128 GB)",https://www.flipkart.com,Apple,52900.0,52900,0,3321,300.0,MOBEXRSGY,4.6,2 GB
"APPLE iPhone 8 Plus (Gold, 64 GB)",https://www.flipkart.com,Apple,49900.0,49900,0,3431,356.0,MOBEXRGVZ,4.6,2 GB
"APPLE iPhone 8 Plus (Space Grey, 256 GB)",https://www.flipkart.com,Apple,84900.0,84900,0,3431,356.0,MOBEXRGVA,4.6,2 GB
"APPLE iPhone 8 Plus (Gold, 64 GB)",https://www.flipkart.com,,,49900,0,3431,356.0,MOBEXRGVZ,4.6,2 GB
"APPLE iPhone 8 Plus (Gold, 128 GB)",https://www.flipkart.com,Apple,78900.0,78900,0,4000,420.0,MOBEXRGLD,4.6,2 GB
"APPLE iPhone 8 Plus (Silver, 256 GB)",https://www.flipkart.com,Apple,84900.0,84900,0,3431,356.0,MOBEXRGVC,4.6,2 GB
"APPLE iPhone 8 Plus (Silver, 256 GB)",https://www.flipkart.com,Apple,84900.0,84900,0,3431,356.0,MOBEXRGVC,4.6,2 GB
"APPLE iPhone 8 Plus (Space Grey, 256 GB)",https://www.flipkart.com,Apple,84900.0,84900,0,3431,356.0,MOBEXRGVA,4.6,2 GB
"APPLE iPhone 8 (Red, 256 GB)",https://www.flipkart.com,Apple,87900.0,87900,0,1800,200.0,MOBEXR256,4.5,2 GB
"APPLE iPhone 8 (Silver, 64 GB)",https://www.flipkart.com,Apple,44900.0,44900,0,2980,267.0,MOBEXRSLV,4.4,2 GB
"APPLE iPhone 8 (Red, 256 GB)",https://www.flipkart.com,Apple,87900.0,87900,0,1800,200.0,MOBEXR256,4.5,2 GB
"APPLE iPhone 8 Plus (Silver, 256 GB)",https://www.flipkart.com,Apple,84900.0,84900,0,3431,356.0,MOBEXRGVC,4.6,2 GB
"APPLE iPhone 8 Plus (Space Grey, 256 GB)",https://www.flipkart.com,Apple,84900.0,84900,0,3431,356.0,MOBEXRGVA,4.6,2 GB
"APPLE iPhone 8 Plus (Space Grey, 256 GB)",https://www.flipkart.com,Apple,,84900,0,3431,356.0,MOBEXRGVA,,2 GB
"APPLE iPhone 8 (Silver, 64 GB)",https://www.flipkart.com,Apple,44900.0,44900,0,2980,267.0,MOBEXRSLV,4.4,2 GB
"APPLE iPhone 8 (Red, 64 GB)",https://www.flipkart.com,Apple,45900.0,45900,0,2210,289.0,MOBEXRRED,,2 GB
"APPLE iPhone 8 (Gold, 128 GB)",https://www.flipkart.com,Apple,51900.0,51900,0,3142,315.0,MOBEXR128,4.5,2 GB
"APPLE iPhone 8 Plus (Space Grey, 256 GB)",https://www.flipkart.com,Apple,84900.0,84900,0,3431,356.0,MOBEXRGVA,4.6,2 GB
"APPLE iPhone 8 (Silver, 64 GB)",https://www.flipkart.com,Apple,44900.0,44900,0,2980,,MOBEXRSLV,4.4,2 GB
"APPLE iPhone 8 Plus (Silver, 256 GB)",https://www.flipkart.com,Apple,84900.0,84900,0,3431,356.0,MOBEXRGVC,4.6,2 GB
"APPLE iPhone 8 (Gold, 128 GB)",https://www.flipkart.com,Apple,51900.0,51900,0,3142,315.0,MOBEXR128,4.5,2 GB
"APPLE iPhone 8 (Silver, 64 GB)",https://www.flipkart.com,Apple,44900.0,44900,0,2980,267.0,MOBEXRSLV,4.4,2 GB
"APPLE iPhone 8 Plus (Silver, 256 GB)",https://www.flipkart.com,Apple,84900.0,84900,0,3431,356.0,MOBEXRGVC,,2 GB
"APPLE iPhone 8 (Red, 64 GB)",https://www.flipkart.com,Apple,45900.0,45900,0,2210,289.0,MOBEXRRED,4.4,2 GB
