sepal_length,sepal_width,petal_length,petal_width,species
5.55,3.92,1.30,0.39,setosa
4.50,2.78,1.80,0.40,setosa
4.78,3.24,1.52,0.32,setosa
5.52,3.62,1.10,0.13,setosa
5.79,3.28,1.30,0.52,setosa
4.40,3.51,1.67,0.37,setosa
4.71,3.26,1.62,0.18,setosa
5.29,3.97,1.77,0.54,setosa
4.34,3.19,1.59,0.33,setosa
5.28,3.22,1.48,0.18,setosa
5.38,3.33,1.55,0.35,setosa
5.13,3.24,1.85,0.59,setosa
4.44,3.03,1.02,0.17,setosa
5.62,3.21,1.86,0.11,setosa
5.72,3.06,1.60,0.25,setosa
4.60,4.31,1.74,0.49,setosa
4.95,3.85,1.89,0.11,setosa
5.67,2.97,1.67,0.38,setosa
5.20,3.10,1.37,0.26,setosa
5.73,3.81,1.12,0.42,setosa
5.36,3.22,1.15,0.39,setosa
5.53,3.17,1.35,0.13,setosa
5.64,3.64,1.59,0.36,setosa
4.47,3.04,1.28,0.60,setosa
5.03,3.29,1.29,0.46,setosa
4.92,3.07,1.03,0.27,setosa
4.80,4.00,1.80,0.41,setosa
5.60,3.20,1.59,0.53,setosa
4.54,3.06,1.74,0.20,setosa
5.54,3.10,1.88,0.34,setosa
5.19,3.67,1.67,0.36,setosa
4.93,3.89,1.44,0.53,setosa
5.08,3.94,1.73,0.43,setosa
5.12,3.98,1.21,0.25,setosa
5.69,3.44,1.03,0.23,setosa
5.16,2.86,1.76,0.39,setosa
4.79,3.30,1.50,0.18,setosa
5.14,3.53,1.34,0.51,setosa
5.31,3.62,1.05,0.20,setosa
4.53,3.49,1.23,0.38,setosa
4.43,4.06,1.45,0.44,setosa
5.70,3.62,1.87,0.30,setosa
4.62,2.93,1.44,0.35,setosa
5.55,3.32,1.23,0.45,setosa
4.88,3.59,1.77,0.36,setosa
5.61,3.06,1.53,0.28,setosa
5.21,3.15,1.38,0.20,setosa
5.40,2.90,1.41,0.53,setosa
5.23,3.93,1.20,0.19,setosa
5.18,3.71,1.79,0.33,setosa
4.99,3.06,1.30,0.16,setosa
5.50,3.33,1.22,0.49,setosa
5.36,3.39,1.92,0.44,setosa
5.62,2.93,1.47,0.21,setosa
5.02,3.15,1.41,0.12,setosa
5.46,3.73,1.28,0.13,setosa
