Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP000001,Male,Yes,0,Graduate,No,5849,0,128,360,1,Urban,Y
LP000002,Male,Yes,1,Graduate,No,4583,1508,128,360,1,Urban,N
LP000003,Male,Yes,2,Graduate,Yes,3000,0,66,360,1,Urban,Y
LP000004,Female,Yes,0,Graduate,Yes,4106,0,131,360,1,Semiurban,N
LP000005,Male,Yes,3+,Graduate,No,2583,2358,120,360,1,Rural,N
LP000006,Female,No,0,Graduate,Yes,6000,0,141,360,1,Semiurban,Y
LP000007,Male,No,1,Graduate,No,4000,1500,120,360,1,Urban,N
LP000008,Female,Yes,0,Not Graduate,Yes,3500,0,110,360,1,Semiurban,Y
LP000009,Male,Yes,2,Graduate,No,5000,2000,150,360,1,Rural,Y
LP000010,Female,No,3+,Not Graduate,No,2800,1500,95,360,1,Urban,N
LP000011,Male,Yes,1,Graduate,Yes,4500,0,140,360,1,Semiurban,Y
LP000012,Female,No,0,Not Graduate,No,3200,0,100,360,1,Rural,N
LP000013,Male,Yes,2,Graduate,Yes,3800,1600,125,360,1,Urban,Y
LP000014,Female,No,1,Graduate,No,4200,2000,135,360,1,Semiurban,N
LP000015,Male,Yes,3+,Not Graduate,Yes,2900,0,95,360,1,Rural,N
LP000016,Female,No,0,Graduate,No,5100,0,155,360,1,Urban,Y
LP000017,Male,Yes,2,Not Graduate,No,3600,1700,115,360,1,Semiurban,N
LP000018,Female,No,1,Graduate,Yes,4300,0,140,360,1,Rural,Y
LP000019,Male,Yes,0,Graduate,No,3400,0,105,360,1,Urban,N
LP000020,Female,No,3+,Not Graduate,Yes,4800,0,145,360,1,Semiurban,Y
LP000021,Male,Yes,1,Graduate,No,3100,1800,100,360,1,Rural,N
LP000022,Female,No,2,Graduate,Yes,5200,0,160,360,1,Urban,Y
LP000023,Male,Yes,0,Not Graduate,No,3700,0,120,360,1,Semiurban,N
