cppa,score,placed
8.14,6.52,1
6.17,5.77,1
8.27,8.86,1
6.88,7.27,1
7.52,7.3,1
8.7,6.49,1
3.94,7.69,1
6.56,6.29,0
6.32,6.71,1
7.68,7.12,0
6.18,6.25,1
6.94,6.41,0
6.09,7.01,0
7.58,6.29,1
7.81,8.41,1
8.84,7.18,1
7.22,6.8,1
6.51,8.06,0
6.13,5.77,0
6.05,7.13,0
7.99,6.55,1
8.65,8.1,1
5.51,7.34,0
7.25,6.48,1
6.85,5.98,0
5.2,6.12,0
8.2,7.8,1
4.93,6.89,0
7.47,7.71,1
6.61,7.05,0
8.54,7.9,1
7.35,8.34,1
7.05,6.75,1
5.88,6.53,0
6.98,7.23,1
8.12,8.46,1
6.31,6.89,1
7.83,7.65,1
5.45,7.18,0
6.42,5.79,0
8.03,8.07,1
7.76,6.88,1
6.05,7.1,0
7.11,6.62,1
5.98,6.84,0
7.6,8.3,1
6.89,6.73,1
8.34,7.54,1
5.78,5.95,0
6.71,6.11,1
7.93,7.82,1
6.19,6.23,0
8.74,8.56,1
7.52,7.32,1
5.9,6.71,0
6.36,6.98,0
7.21,7.41,1
8.07,7.86,1
7.39,7.66,1
6.54,6.55,0
8.29,7.34,1
7.74,8.12,1
6.24,7.21,0
5.82,6.03,0
7.5,7.75,1
8.1,8.02,1
6.67,7.12,1
5.96,6.42,0
7.33,7.48,1
6.28,6.04,0
8.45,7.73,1
7.59,8.08,1
6.83,6.56,0
5.43,5.94,0
7.71,7.51,1
8.38,7.64,1
6.16,6.87,0
7.02,7.09,1
5.67,6.36,0
7.45,7.23,1
8.21,8.17,1
6.53,6.8,1
5.8,6.15,0
7.04,7.29,1
6.12,6.48,0
8.09,7.91,1
7.66,8.25,1
6.44,6.37,0
5.91,6.04,0
7.77,7.91,1
8.48,8.37,1
6.01,6.57,0
7.31,6.92,1
5.55,5.89,0
7.57,7.42,1
8.33,8.11,1
6.7,6.68,1
5.79,6.11,0
7.09,7.26,1
6.21,6.35,0
8.22,7.85,1
7.48,8.04,1
6.23,6.75,0
5.54,5.94,0
7.69,7.7,1
8.41,8.28,1
6.11,6.44,0
7.16,7.18,1
5.88,6.29,0
7.42,7.31,1
8.28,8.04,1
6.66,6.5,1
5.73,6.07,0
7.25,7.2,1
6.3,6.39,0
8.13,7.72,1
7.52,8.08,1
6.19,6.05,0
5.89,6.23,0
7.8,7.94,1
8.37,8.1,1
6.08,6.51,0
7.07,7.37,1
5.62,6.17,0
7.5,7.29,1
8.26,7.7,1
6.41,6.62,1
5.95,6.15,0
7.21,7.31,1
6.22,6.38,0
8.47,8.27,1
7.68,8.04,1
6.33,6.77,0
5.69,6.01,0
7.51,7.78,1
8.05,7.99,1
6.15,6.46,0
7.23,7.28,1
5.83,6.12,0
7.71,7.7,1
8.34,8.1,1
6.38,6.41,0
5.97,6.15,0
7.09,7.29,1
6.17,6.22,0
8.11,7.85,1
7.53,7.99,1
6.12,6.32,0
5.71,6.05,0
7.49,7.43,1
8.04,8.02,1
6.22,6.64,0
7.34,7.24,1
5.63,6.18,0
7.6,7.53,1
8.3,8.29,1
6.27,6.38,0
5.92,6.22,0
7.02,7.21,1
6.09,6.39,0
8.23,7.75,1
7.5,8.09,1
6.18,6.08,0
5.86,6.12,0
7.72,7.88,1
8.4,8.07,1
6.04,6.53,0
7.19,7.27,1
5.65,6.14,0
7.44,7.29,1
8.22,7.83,1
6.55,6.47,1
5.82,6.08,0
7.21,7.28,1
6.29,6.37,0
8.18,8.01,1
7.47,7.94,1
6.36,6.43,0
5.79,6.02,0
7.54,7.53,1
8.02,7.91,1
6.23,6.41,0
7.12,7.31,1
5.67,6.09,0
7.69,7.36,1
8.19,7.77,1
6.07,6.57,0
5.9,6.13,0
7.42,7.61,1
8.3,8.04,1
6.15,6.45,0
7.25,7.29,1
5.85,6.01,0
7.41,7.63,1
8.2,7.92,1
6.43,6.68,1
5.95,6.12,0
7.02,7.04,1
6.14,6.31,0
8.05,7.84,1
7.5,7.86,1

