Age,Experience,Salary
15,1,11500
15,2,12500
15,3,13500
15,4,14500
15,5,15500
15,6,16500
15,7,17500
15,8,18500
15,9,19500
15,10,20500
15,11,21500
15,12,22500
15,13,23500
15,14,24500
15,15,25500
16,1,12000
16,2,13000
16,3,14000
16,4,15000
16,5,16000
16,6,17000
16,7,18000
16,8,19000
16,9,20000
16,10,21000
16,11,22000
16,12,23000
16,13,24000
16,14,25000
16,15,26000
17,1,12500
17,2,13500
17,3,14500
17,4,15500
17,5,16500
17,6,17500
17,7,18500
17,8,19500
17,9,20500
17,10,21500
17,11,22500
17,12,23500
17,13,24500
17,14,25500
17,15,26500
18,1,13000
18,2,14000
18,3,15000
18,4,16000
18,5,17000
18,6,18000
18,7,19000
18,8,20000
18,9,21000
18,10,22000
18,11,23000
18,12,24000
18,13,25000
18,14,26000
18,15,27000
19,1,13500
19,2,14500
19,3,15500
19,4,16500
19,5,17500
19,6,18500
19,7,19500
19,8,20500
19,9,21500
19,10,22500
19,11,23500
19,12,24500
19,13,25500
19,14,26500
19,15,27500
20,1,14000
20,2,15000
20,3,16000
20,4,17000
20,5,18000
20,6,19000
20,7,20000
20,8,21000
20,9,22000
20,10,23000
20,11,24000
20,12,25000
20,13,26000
20,14,27000
20,15,28000
21,1,14500
21,2,15500
21,3,16500
21,4,17500
21,5,18500
21,6,19500
21,7,20500
21,8,21500
21,9,22500
21,10,23500
21,11,24500
21,12,25500
21,13,26500
21,14,27500
21,15,28500
22,1,15000
22,2,16000
22,3,17000
22,4,18000
22,5,19000
22,6,20000
22,7,21000
22,8,22000
22,9,23000
22,10,24000
22,11,25000
22,12,26000
22,13,27000
22,14,28000
22,15,29000
23,1,15500
23,2,16500
23,3,17500
23,4,18500
23,5,19500
23,6,20500
23,7,21500
23,8,22500
23,9,23500
23,10,24500
23,11,25500
23,12,26500
23,13,27500
23,14,28500
23,15,29500
24,1,16000
24,2,17000
24,3,18000
24,4,19000
24,5,20000
24,6,21000
24,7,22000
24,8,23000
24,9,24000
24,10,25000
24,11,26000
24,12,27000
24,13,28000
24,14,29000
24,15,30000
25,1,16500
25,2,17500
25,3,18500
25,4,19500
25,5,20500
25,6,21500
25,7,22500
25,8,23500
25,9,24500
25,10,25500
25,11,26500
25,12,27500
25,13,28500
25,14,29500
25,15,30500
26,1,17000
26,2,18000
26,3,19000
26,4,20000
26,5,21000
26,6,22000
26,7,23000
26,8,24000
26,9,25000
26,10,26000
26,11,27000
26,12,28000
26,13,29000
26,14,30000
26,15,31000
27,1,17500
27,2,18500
27,3,19500
27,4,20500
27,5,21500
27,6,22500
27,7,23500
27,8,24500
27,9,25500
27,10,26500
27,11,27500
27,12,28500
27,13,29500
27,14,30500
27,15,31500
28,1,18000
28,2,19000
28,3,20000
28,4,21000
28,5,22000
28,6,23000
28,7,24000
28,8,25000
28,9,26000
28,10,27000
28,11,28000
28,12,29000
28,13,30000
28,14,31000
28,15,32000
29,1,18500
29,2,19500
29,3,20500
29,4,21500
29,5,22500
29,6,23500
29,7,24500
29,8,25500
29,9,26500
29,10,27500
29,11,28500
29,12,29500
29,13,30500
29,14,31500
29,15,32500
30,1,19000
30,2,20000
30,3,21000
30,4,22000
30,5,23000
30,6,24000
30,7,25000
30,8,26000
30,9,27000
30,10,28000
30,11,29000
30,12,30000
30,13,31000
30,14,32000
30,15,33000
31,1,19500
31,2,20500
31,3,21500
31,4,22500
31,5,23500
31,6,24500
31,7,25500
31,8,26500
31,9,27500
31,10,28500
31,11,29500
31,12,30500
31,13,31500
31,14,32500
31,15,33500
32,1,20000
32,2,21000
32,3,22000
32,4,23000
32,5,24000
32,6,25000
32,7,26000
32,8,27000
32,9,28000
32,10,29000
32,11,30000
32,12,31000
32,13,32000
32,14,33000
32,15,34000
33,1,20500
33,2,21500
33,3,22500
33,4,23500
33,5,24500
33,6,25500
33,7,26500
33,8,27500
33,9,28500
33,10,29500
33,11,30500
33,12,31500
33,13,32500
33,14,33500
33,15,34500
34,1,21000
34,2,22000
34,3,23000
34,4,24000
34,5,25000
34,6,26000
34,7,27000
34,8,28000
34,9,29000
34,10,30000
34,11,31000
34,12,32000
34,13,33000
34,14,34000
34,15,35000
35,1,21500
35,2,22500
35,3,23500
35,4,24500
35,5,25500
35,6,26500
35,7,27500
35,8,28500
35,9,29500
35,10,30500
35,11,31500
35,12,32500
35,13,33500
35,14,34500
35,15,35500
36,1,22000
36,2,23000
36,3,24000
36,4,25000
36,5,26000
36,6,27000
36,7,28000
36,8,29000
36,9,30000
36,10,31000
36,11,32000
36,12,33000
36,13,34000
36,14,35000
36,15,36000
37,1,22500
37,2,23500
37,3,24500
37,4,25500
37,5,26500
37,6,27500
37,7,28500
37,8,29500
37,9,30500
37,10,31500
37,11,32500
37,12,33500
37,13,34500
37,14,35500
37,15,36500
38,1,23000
38,2,24000
38,3,25000
38,4,26000
38,5,27000
38,6,28000
38,7,29000
38,8,30000
38,9,31000
38,10,32000
38,11,33000
38,12,34000
38,13,35000
38,14,36000
38,15,37000
39,1,23500
39,2,24500
39,3,25500
39,4,26500
39,5,27500
39,6,28500
39,7,29500
39,8,30500
39,9,31500
39,10,32500
39,11,33500
39,12,34500
39,13,35500
39,14,36500
39,15,37500
40,1,24000
40,2,25000
40,3,26000
40,4,27000
40,5,28000
40,6,29000
40,7,30000
40,8,31000
40,9,32000
40,10,33000
40,11,34000
40,12,35000
40,13,36000
40,14,37000
40,15,38000
15,1,11500
15,2,12500
15,3,13500
15,4,14500
15,5,15500
15,6,16500
15,7,17500
15,8,18500
15,9,19500
15,10,20500
15,11,21500
15,12,22500
15,13,23500
15,14,24500
15,15,25500
16,1,12000
16,2,13000
16,3,14000
16,4,15000
16,5,16000
16,6,17000
16,7,18000
16,8,19000
16,9,20000
16,10,21000
16,11,22000
16,12,23000
16,13,24000
16,14,25000
16,15,26000
17,1,12500
17,2,13500
17,3,14500
17,4,15500
17,5,16500
17,6,17500
17,7,18500
17,8,19500
17,9,20500
17,10,21500
17,11,22500
17,12,23500
17,13,24500
17,14,25500
17,15,26500
18,1,13000
18,2,14000
18,3,15000
18,4,16000
18,5,17000
18,6,18000
18,7,19000
18,8,20000
18,9,21000
18,10,22000
18,11,23000
18,12,24000
18,13,25000
18,14,26000
18,15,27000
19,1,13500
19,2,14500
19,3,15500
19,4,16500
19,5,17500
19,6,18500
19,7,19500
19,8,20500
19,9,21500
19,10,22500
19,11,23500
19,12,24500
19,13,25500
19,14,26500
19,15,27500
20,1,14000
20,2,15000
20,3,16000
20,4,17000
20,5,18000
20,6,19000
20,7,20000
20,8,21000
20,9,22000
20,10,23000
20,11,24000
20,12,25000
20,13,26000
20,14,27000
20,15,28000
21,1,14500
21,2,15500
21,3,16500
21,4,17500
21,5,18500
21,6,19500
21,7,20500
21,8,21500
21,9,22500
21,10,23500
21,11,24500
21,12,25500
21,13,26500
21,14,27500
21,15,28500
22,1,15000
22,2,16000
22,3,17000
22,4,18000
22,5,19000
22,6,20000
22,7,21000
22,8,22000
22,9,23000
22,10,24000
22,11,25000
22,12,26000
22,13,27000
22,14,28000
22,15,29000
23,1,15500
23,2,16500
23,3,17500
23,4,18500
23,5,19500
23,6,20500
23,7,21500
23,8,22500
23,9,23500
23,10,24500
23,11,25500
23,12,26500
23,13,27500
23,14,28500
23,15,29500
24,1,16000
24,2,17000
24,3,18000
24,4,19000
24,5,20000
24,6,21000
24,7,22000
24,8,23000
24,9,24000
24,10,25000
24,11,26000
24,12,27000
24,13,28000
24,14,29000
24,15,30000
25,1,16500
25,2,17500
25,3,18500
25,4,19500
25,5,20500
25,6,21500
25,7,22500
25,8,23500
25,9,24500
25,10,25500
25,11,26500
25,12,27500
25,13,28500
25,14,29500
25,15,30500
26,1,17000
26,2,18000
26,3,19000
26,4,20000
26,5,21000
26,6,22000
26,7,23000
26,8,24000
26,9,25000
26,10,26000
26,11,27000
26,12,28000
26,13,29000
26,14,30000
26,15,31000
27,1,17500
27,2,18500
27,3,19500
27,4,20500
27,5,21500
27,6,22500
27,7,23500
27,8,24500
27,9,25500
27,10,26500
27,11,27500
27,12,28500
27,13,29500
27,14,30500
27,15,31500
28,1,18000
28,2,19000
28,3,20000
28,4,21000
28,5,22000
28,6,23000
28,7,24000
28,8,25000
28,9,26000
28,10,27000
28,11,28000
28,12,29000
28,13,30000
28,14,31000
28,15,32000
29,1,18500
29,2,19500
29,3,20500
29,4,21500
29,5,22500
29,6,23500
29,7,24500
29,8,25500
29,9,26500
29,10,27500
29,11,28500
29,12,29500
29,13,30500
29,14,31500
29,15,32500
30,1,19000
30,2,20000
30,3,21000
30,4,22000
30,5,23000
30,6,24000
30,7,25000
30,8,26000
30,9,27000
30,10,28000
30,11,29000
30,12,30000
30,13,31000
30,14,32000
30,15,33000
31,1,19500
31,2,20500
31,3,21500
31,4,22500
31,5,23500
31,6,24500
31,7,25500
31,8,26500
31,9,27500
31,10,28500
31,11,29500
31,12,30500
31,13,31500
31,14,32500
31,15,33500
32,1,20000
32,2,21000
32,3,22000
32,4,23000
32,5,24000
32,6,25000
32,7,26000
32,8,27000
32,9,28000
32,10,29000
32,11,30000
32,12,31000
32,13,32000
32,14,33000
32,15,34000
33,1,20500
33,2,21500
33,3,22500
33,4,23500
33,5,24500
33,6,25500
33,7,26500
33,8,27500
33,9,28500
33,10,29500
33,11,30500
33,12,31500
33,13,32500
33,14,33500
33,15,34500
34,1,21000
34,2,22000
34,3,23000
34,4,24000
34,5,25000
34,6,26000
34,7,27000
34,8,28000
34,9,29000
34,10,30000
34,11,31000
34,12,32000
34,13,33000
34,14,34000
34,15,35000
35,1,21500
35,2,22500
35,3,23500
35,4,24500
35,5,25500
