Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History
LP001002,Male,Yes,0,Graduate,No,5000,1500.0,,360.0,1.0
LP001003,Male,No,1,Graduate,No,5100,0.0,102.0,360.0,1.0
LP001004,Male,Yes,2,Graduate,No,5200,1500.0,104.0,360.0,1.0
LP001005,Male,No,3,Graduate,No,5300,0.0,106.0,360.0,1.0
LP001006,Male,Yes,0,Graduate,No,5400,1500.0,108.0,360.0,1.0
LP001007,Male,No,1,Graduate,No,5500,0.0,110.0,360.0,1.0
LP001008,Male,Yes,2,Graduate,No,5600,1500.0,112.0,360.0,1.0
LP001009,Male,No,3,Graduate,No,5700,0.0,114.0,360.0,1.0
LP0010010,Male,Yes,0,Graduate,No,5800,1500.0,116.0,360.0,1.0
LP0010011,Male,No,1,Graduate,No,5900,0.0,118.0,360.0,1.0
LP0010012,Male,Yes,2,Graduate,No,6000,1500.0,120.0,360.0,1.0
LP0010013,Male,No,3,Graduate,No,6100,0.0,122.0,360.0,1.0
LP0010014,Male,Yes,0,Graduate,No,6200,1500.0,124.0,360.0,1.0
LP0010015,Male,No,1,Graduate,No,6300,0.0,126.0,360.0,1.0
LP0010016,Male,Yes,2,Graduate,No,6400,1500.0,128.0,360.0,1.0
LP0010017,Male,No,3,Graduate,No,6500,0.0,130.0,360.0,1.0
LP0010018,Male,Yes,0,Graduate,No,6600,1500.0,132.0,360.0,1.0
LP0010019,Male,No,1,Graduate,No,6700,0.0,134.0,360.0,1.0
LP0010020,Male,Yes,2,Graduate,No,6800,1500.0,136.0,360.0,1.0
LP0010021,Male,No,3,Graduate,No,6900,0.0,138.0,360.0,1.0
