Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History
LP001002,Male,Yes,0,Graduate,Yes,5000,1500.0,,360.0,0.0
LP001003,Male,No,1,Graduate,No,5120,0.0,102.0,360.0,1.0
LP001004,Male,Yes,2,Graduate,No,5240,1500.0,104.0,360.0,1.0
LP001005,Male,No,3,Graduate,Yes,5360,0.0,106.0,360.0,0.0
LP001006,Male,Yes,0,Graduate,No,5480,1500.0,108.0,360.0,1.0
LP001007,Male,No,1,Graduate,No,5600,0.0,,360.0,1.0
LP001008,Male,Yes,2,Graduate,Yes,5720,1500.0,112.0,360.0,0.0
LP001009,Male,No,3,Graduate,No,5840,0.0,114.0,360.0,1.0
LP001010,Male,Yes,0,Graduate,No,5960,1500.0,116.0,360.0,1.0
LP001011,Male,No,1,Graduate,Yes,6080,0.0,118.0,360.0,0.0
LP001012,Male,Yes,2,Graduate,No,6200,1500.0,,360.0,1.0
LP001013,Male,No,3,Graduate,No,6320,0.0,122.0,360.0,1.0
LP001014,Male,Yes,0,Graduate,Yes,6440,1500.0,124.0,360.0,0.0
LP001015,Male,No,1,Graduate,No,6560,0.0,126.0,360.0,1.0
LP001016,Male,Yes,2,Graduate,No,6680,1500.0,128.0,360.0,1.0
LP001017,Male,No,3,Graduate,Yes,6800,0.0,,360.0,0.0
LP001018,Male,Yes,0,Graduate,No,6920,1500.0,132.0,360.0,1.0
LP001019,Male,No,1,Graduate,No,7040,0.0,134.0,360.0,1.0
LP001020,Male,Yes,2,Graduate,Yes,7160,1500.0,136.0,360.0,0.0
LP001021,Male,No,3,Graduate,No,7280,0.0,138.0,360.0,1.0
LP001022,Male,Yes,0,Graduate,No,7400,1500.0,,360.0,1.0
LP001023,Male,No,1,Graduate,Yes,7520,0.0,142.0,360.0,0.0
LP001024,Male,Yes,2,Graduate,No,7640,1500.0,144.0,360.0,1.0
LP001025,Male,No,3,Graduate,No,7760,0.0,146.0,360.0,1.0
LP001026,Male,Yes,0,Graduate,Yes,7880,1500.0,148.0,360.0,0.0
LP001027,Male,No,1,Graduate,No,8000,0.0,,360.0,1.0
LP001028,Male,Yes,2,Graduate,No,8120,1500.0,152.0,360.0,1.0
LP001029,Male,No,3,Graduate,Yes,8240,0.0,154.0,360.0,0.0
LP001030,Male,Yes,0,Graduate,No,8360,1500.0,156.0,360.0,1.0
LP001031,Male,No,1,Graduate,No,8480,0.0,158.0,360.0,1.0
LP001032,Male,Yes,2,Graduate,Yes,8600,1500.0,,360.0,0.0
LP001033,Male,No,3,Graduate,No,8720,0.0,162.0,360.0,1.0
LP001034,Male,Yes,0,Graduate,No,8840,1500.0,164.0,360.0,1.0
LP001035,Male,No,1,Graduate,Yes,8960,0.0,166.0,360.0,0.0
LP001036,Male,Yes,2,Graduate,No,9080,1500.0,168.0,360.0,1.0
LP001037,Male,No,3,Graduate,No,9200,0.0,,360.0,1.0
LP001038,Male,Yes,0,Graduate,Yes,9320,1500.0,172.0,360.0,0.0
LP001039,Male,No,1,Graduate,No,9440,0.0,174.0,360.0,1.0
LP001040,Male,Yes,2,Graduate,No,9560,1500.0,176.0,360.0,1.0
LP001041,Male,No,3,Graduate,Yes,9680,0.0,178.0,360.0,0.0
