Symbol,ltp,%Change,Open,High,Low,Qty,PClose,Diff
ACLBSL,894.90,0.01,900.00,900.00,880.00,804,894.80,0.1
ADBL,297.00,0.13,299.00,299.80,296.00,"9,898",296.60,0.4
AHL,366.00,0.6,365.00,366.00,361.20,"2,543",363.80,2.2
AHPC,248.20,-0.12,249.90,249.90,248.00,"38,059",248.50,-0.3
AKJCL,340.30,-1.16,347.70,349.50,338.00,"281,818",344.30,-4
AKPL,245.00,0.82,245.00,246.50,242.00,"43,929",243.00,2
ALBSL,"1,190.00",8.29,"1,060.00","1,190.00","1,060.00","13,128","1,098.90",91.1
ALICL,399.50,0.38,398.00,400.00,397.00,"15,632",398.00,1.5
ANLB,"5,023.50",-6.1,"5,617.00","5,617.00","4,854.30","1,068","5,350.00",-326.5
APHL,673.30,-0.55,680.00,680.00,673.10,"4,386",677.00,-3.7
API,326.10,-0.94,330.00,330.00,325.00,"115,353",329.20,-3.1
AVYAN,"1,007.00",0.7,"1,028.50","1,029.00",999.10,"1,868","1,000.00",7
BANDIPUR,644.00,0.31,645.00,647.40,640.10,"10,507",642.00,2
BARUN,307.00,-0.49,308.00,313.00,305.80,"27,286",308.50,-1.5
BBC,"4,082.00",1.19,"4,050.00","4,088.00","4,050.00",212,"4,034.00",48
BEDC,286.00,0.35,286.00,290.00,281.00,"11,605",285.00,1
BFC,458.00,-0.41,464.40,464.40,456.00,"6,315",459.90,-1.9
BGWT,477.00,-1.65,466.00,488.00,435.00,"62,270",485.00,-8
BHCL,540.00,-0.55,520.00,555.00,520.00,"13,335",543.00,-3
BHDC,414.30,0.44,413.00,420.00,412.10,"6,633",412.50,1.8
BHL,198.00,-0.5,200.00,202.00,198.00,"50,408",199.00,-1
BHPL,438.00,-0.23,460.90,460.90,430.00,"3,870",439.00,-1
BJHL,647.90,0.92,650.00,650.00,632.00,"6,403",642.00,5.9
BNHC,259.50,0.58,261.90,261.90,256.00,"10,821",258.00,1.5
BNT,"11,650.00",0,"11,649.00","11,650.00","11,550.00",120,"11,650.00",0
